	BA-Grp1	BB-Grp1	BC-Grp1	BD-Grp1	BE-Grp1	BF-Grp1	BG-Grp1	BH-Grp1	BI-Grp1	BJ-Grp1	BK-Grp1	BL-Grp1	BM-Grp1	BN-Grp1	BO-Grp1	BP-Grp1	BQ-Grp1	BR-Grp1	BS-Grp1	AA-Grp2	AB-Grp2	AC-Grp2	AD-Grp2	AE-Grp2	AF-Grp2	AG-Grp2	AH-Grp2	AI-Grp2	AJ-Grp2	AK-Grp2	AL-Grp2	AM-Grp2	AN-Grp2	AO-Grp2	AP-Grp2	AQ-Grp2	AR-Grp2	AS-Grp2
MEK1	-0.22179078	1.041112629	0.982161524	0.897160837	1.054007815	0.45811645	0.546556351	0.338224015	0.290545526	0.772315796	0.719035952	0.241461249	0.615944353	0.414158564	0.219435162	0.328504324	0.435721064	0.325949526	0.566316516	2.82951720772325	3.39226742726984	2.83311014387743	3.4248060926453	0.900548482777874	1.11023127966724	0.36377879684773	0.376874522055989	2.50343269629505	3.26434606165865	1.70622138156543	2.12474368648115	0.698667566132837	0.383904357258369	0.185723849501774	0.32592221843644	0.391608073528664	0.498678252761863	0.504248404512889
MEK1_pS217S221	-0.381183677	1.928706361	1.945979915	1.848787765	2.073281539	0.42063157	0.426196114	1.063602981	1.085212751	0.482583825	0.485371858	-0.395016216	-0.041491068	0.18201504	0.095494691	0.203016242	0.16227369	0.13386818	0.231438055	1.33299890008309	1.37028425232446	1.32042126454336	1.26383842953022	0.263886859129204	0.362708131956446	0.643158087536832	0.692060613526132	0.481033263477389	0.611925181229349	0.549184172771904	0.573397819930898	0.0162293832550809	0.175524667721893	0.172349113809373	0.204814693511464	0.0787660279430822	0.159326471938539	0.217324923075648
MIG6	-0.191054408	0.787864133	0.746033559	0.797619496	0.806902965	0.184624192	0.168834631	0.106273786	0.085027261	-0.18793741	-0.147749186	-0.114492681	0.038250375	-0.050986721	-0.138746862	-0.009025194	-0.398286646	-0.145599585	-0.043546917	-0.209362122178021	-0.15562805507991	-0.329536350032529	-0.29046609584207	-0.150672310107603	0.0141518297521796	-0.0891203694317711	-0.0149058057022478	0.158467362279042	0.295296445938456	0.0231796358155993	0.0781002837153303	-0.421540413002263	-0.147678793412235	-0.240151887350946	-0.0100044795745166	-0.32717157493111	0.056483576606934	-0.117668766338126
MRE11	-0.194040203	-0.255253287	-0.169109534	-0.180477934	-0.146712109	-0.347247603	-0.153512027	-0.373479035	-0.262497876	-0.023196499	-0.075824522	0.06250587	0.169424838	-0.277624772	-0.225690093	-0.224643742	-0.30246215	-0.193058554	-0.22251201	-0.0813858130126115	-0.0410363939144054	-0.2000741114235	-0.087048120439403	-0.291671437195904	-0.298494209226773	-0.275721378531264	0.0154037908380903	-0.0352744696811098	0.0186260826636231	0.199396223979259	0.188807623903167	-0.349589570990146	-0.248826149902568	-0.264496831943709	-0.223132760196461	-0.266045225508832	-0.167157034686958	-0.276333318761471
MTOR	-0.132334295	-0.084150368	-0.154862048	-0.093155001	0.023820584	-0.059667607	-0.026154654	-0.133798856	-0.128460201	-0.124165026	-0.138516094	-0.764232326	-0.487642717	-0.092624022	-0.027305578	0.127662784	-0.106982204	-0.090771394	0.147916722	-0.064253546390143	-0.0379665125401146	-0.14012735400263	-0.233041461770532	0.0201704166733927	-0.0319790699612232	-0.106965775595986	0.00580600646317336	-0.16771948667483	-0.074648757111437	-0.71113976930998	-0.634311987420293	0.19413298365718	-0.197976729758522	0.0722058738947671	-0.0512093319173309	0.08998221585932	-0.0518871329777215	0.0967814128994876
MTOR_pS2448	0.592857711	0.09917894	0.329614893	0.378965597	0.61522991	0.35978182	0.618898465	0.467029494	0.659557639	0.329855713	0.457565173	-0.394740713	0.047059779	0.343446012	0.393909826	0.53462148	0.314818793	0.444924051	0.501038569	0.0832706937542121	0.18046767464468	0.708829151464975	0.690594864187701	0.710609384782198	0.736967435501967	0.821058691106294	1.07664994279655	0.390296106686675	0.41932252045126	-2.09881334372698	-1.89711723364429	-0.0903413865124558	0.387741143371355	0.436025404447086	0.467728912872452	0.281174495612353	0.417306184831867	0.542782589864887
NCADHERIN	-0.807373858	-1.099831066	-0.919275799	-0.948764367	-0.986937836	-1.237128149	-0.974808308	-1.15229815	-0.925577385	-0.600241097	-0.519639945	-0.271986587	0.022465386	-0.881550616	-0.833203528	-0.798272871	-0.85746567	-0.722033853	-0.736472356	-0.730183343508716	-0.817826309350038	-0.869094620439873	-0.792583267896445	-1.00358230190378	-1.01374423477526	-1.01482750632329	-0.843135666126596	-0.650277262364947	-0.582072129688834	-0.302528052972779	-0.286938808464493	-0.937453746810263	-0.798603584559397	-0.824541133542678	-0.845600929064004	-0.860879823327932	-0.679973455140859	-0.819399968365131
NFKBP65_pS536	0.157952349	0.868751129	0.83563464	0.847718576	0.936307445	2.218698437	2.42314895	2.349729038	2.48371692	0.598855656	0.538218574	-0.624349574	-0.483220269	1.001851746	1.024305606	1.034965984	0.940569043	0.999574982	1.058683876	0.898822979875801	0.931524581295446	0.776500033239803	0.945953312796336	2.81677878776388	3.00386244067429	2.58140366690141	2.68848562073189	0.642702102614276	0.710983259044248	-0.250239568742965	-0.185532181167489	1.05038620674826	0.951697856751638	1.07264587282831	1.01729777449834	0.989305335748083	1.02769484466052	1.00130955251311
NF2	-0.854005698	-2.250198401	-2.01701435	-2.200176616	-2.007882024	-0.995796319	-0.718454992	-0.966290308	-0.770095594	-0.046161698	-0.113717645	-0.064132844	0.030795719	-0.431014268	-0.337891596	-0.396475016	-0.150273539	-0.382744795	-0.33020053	-3.60297975303144	-3.77615585392351	-4.11727070531868	-4.03153988842493	-1.0534356842235	-1.07871803263418	-0.941451248593878	-0.803012670045591	0.231840688925226	0.239021446213417	0.730366498764218	0.657476119808575	-0.308612157443613	-0.318539445272856	-0.404968067838341	-0.199212641461176	-0.342476640092432	-0.278236259263035	-0.485166690072161
NOTCH1	0.384081073	0.566175987	0.684840312	0.657191571	0.603684611	0.193635036	0.320730007	0.200825581	0.36664739	1.48892739	1.385118124	0.732288269	0.656392742	0.570208865	0.694614972	0.703722684	0.455293435	0.589807456	0.644068622	0.650027707471501	0.952690373015144	0.469851191677419	0.570245767804304	-0.296636504957412	-0.411606171643776	-0.0658194065616562	0.697153800610469	2.84109525397868	3.10787627102537	1.35329119027372	1.02310201907242	0.693170137516934	0.784557464322379	0.568997449610431	0.536753338477689	0.537959211386405	0.62652251850323	0.602926051699866
PCADHERIN	0.110807079	-0.358446483	-0.122907695	-0.1551133	-0.196526516	0.048623278	0.140048023	0.019425064	0.062594353	-0.269006198	-0.0706631	0.105480404	0.181458595	-0.116708741	-0.046771062	-0.03868748	0.037473356	0.032001198	0.013580623	-0.961019734180782	-1.10824419339463	-1.12066146117973	-1.28085018091646	0.22315223502023	0.174526542464636	0.246117809733393	0.404719586605182	-1.01069563229357	-1.12180318709291	-0.770020291414648	-0.888628992511662	-0.0243698739526459	-0.0687756891030875	0.0453736538863	-0.000509421124339923	-0.11033537308494	0.0280661191229912	-0.0129313956969242
P27	-0.078656658	-0.512267575	-0.387816981	-0.376351762	-0.52433427	-0.743447006	-0.548470557	-0.782947479	-0.583091164	-0.068118559	-0.100566706	0.171763042	0.275341942	-0.327266309	-0.331250053	-0.339061406	-0.211712144	-0.320470311	-0.531842099	0.0555433353054335	0.00124456870616687	-0.0326106910215072	-0.542420858783433	-1.81118242343387	-1.88047395274322	-1.81264288035585	-1.23482016035026	0.740318725669816	0.934119730468723	1.43911479389048	1.14048891380823	-0.411325739572251	-0.307691543146686	-0.282916080322915	-0.306110697408308	-0.226843544066397	-0.434855584832797	-0.503184872222898
P27_pT157	-0.166338465	-0.215384068	-0.187453557	-0.009191439	-0.162561549	-0.243548778	-0.222754235	-0.267809741	-0.214330386	0.151177537	-0.044035434	0.065836088	0.176944119	-0.063467277	-0.129189048	-0.014743126	-0.239394434	-0.121675549	-0.141881863	-0.0576334384966407	-0.0109815289308964	-0.230561158232832	-0.185385069215764	-0.227159365480018	-0.37631713734008	0.264255874062624	0.0624962046751625	0.441479110852346	0.652043572114732	0.26298652151426	0.0534327812174414	-0.505554623300264	-0.199031670241355	-0.139395161040258	-0.086639553728639	-0.185929211021673	0.0100041581986644	-0.10935985916674
